GOVTRACK, NAME, TWITTER_ID
400008, Robert E. Andrews, 
412493, Kelly A Ayotte, KellyAyotte
400013, Tammy Baldwin, SenatorBaldwin
300005, Max S. Baucus, MaxBaucus
412565, Joyce Beatty, JoyceBeatty
412516, Julia Brownley, JuliaBrownley
400063, Michael E. Capuano, mikecapuano, CAMPAIGN(?)
412517, Tony C‡rdenas, RepCardenas
412269, Bill Cassidy, BillCassidy
412195, Kathy Castor, 
400074, Wm. Lacy Clay, LacyClayMO1 
412586, William Cowan, SenMoCowan, NOT IN OFFICE
400090, Elijah E. Cummings, 
400093, Danny K. Davis, DannyKDavis
400097, Susan A. Davis, RepSusanDavis
400648, Charles W. Dent, DentPressShop
400116, John J. Duncan,
400128, Eni F. H. Faleomavaega, AMERICAN SAMOA
412378, Alan Stuart Franken, alfranken 
400142, Rodney P. Frelinghuysen, USRepRodney
412530, Joe Garcia, JoeGarcia
412223, Kirsten E. Gillibrand, SenGillibrand
400158, Sam B. Graves, SmallBizGOP
412276, Alan Grayson, AlanGrayson
412278, Brett Brett Guthrie, RepGuthrie
400165, Ralph Moody Hall, RalphHallPress
400170, Alcee L. Hastings,
400184, Rush D. Holt, RushHolt
412283, Duncan D. Hunter, Rep_Hunter
400194, John H. Isakson, SenatorIsakson
412582, Timothy Kaine, timkaine
412242, Amy Jean Klobuchar, amyklobuchar
412290, Leonard Lance, RepLanceNJ7
400630, Daniel William Lipinski, RepLipinski
412445, Billy Long, auctnr1
400247, Frank D. Lucas, FrankDLucas
412292, Blaine Luetkemeyer, RepBlainePress
412503, Thomas Massie, RepThomasMassie
400273, John L. Mica,
400279, Jeff Miller, RepJeffMiller
412194, Christopher S. Murphy, ChrisMurphyCT
400310, Ed Pastor, 
400316, Collin C. Peterson,
400318, Thomas E. Petri,
412585, Mark Pocan, MarkPocan
412528, Trey Radel, treyradel
400331, Nick J. Rahall,
412322, James E. Risch, SenatorRisch
400343, Dana T. Rohrabacher, DanaRohrabacher
412312, Gregorio Kilili Camacho Sablan, 
412212, John P. Sarbanes, RepJohnSarbanes
412261, Steve J. Scalise, SteveScalise
412507, Brian Emanuel Schatz, brianschatz
400647, Allyson Y. Schwartz,
400380, Christopher H. Smith, RepChrisSmith
412244, Jon Tester, jontester
400403, Mike C. Thompson, RepThompson
412522, Juan Vargas, RepJuanVargas
400418, David B. Vitter, DavidVitter
412214, Timothy J. Walz, RepTimWalz
400623, Debbie Wasserman Schultz, DWStweets
412239, Peter F. Welch, PeterWelch
412416, Rob Woodall,
400439, C. W. Bill Young,
